sample,block,ensemble_freq
X0.2mg.mL.TLMvsEtOH..6h,antitb.inhibit.cell.wall.synthesis,0.2
X0.2mg.mL.TLMvsEtOH..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X0.2ug.mL.INH.EtOH..6h,antitb.inhibit.cell.wall.synthesis,0.2
X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.3.x,antitb.inhibit.cell.wall.synthesis,0.2
X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.3.y,antitb.inhibit.cell.wall.synthesis,0.2
X0.32ug.mL.CervsEtOH..6h,antitb.inhibit.cell.wall.synthesis,0.2
X0.32ug.mL.CervsEtOH..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X0.4ug.mL.INHvsEtOH..6h,antitb.inhibit.cell.wall.synthesis,0.2
X0.4ug.mL.INHvsEtOH..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X0.5ug.mL.CeruleninvsDMSO..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X0.5ug.mL.CeruleninvsDMSO..6hB,antitb.inhibit.cell.wall.synthesis,0.2
X0.5ug.mL.CeruleninvsDMSO..6hC,antitb.inhibit.cell.wall.synthesis,0.2
X0.5ug.mL.CervsEtOH..6h,antitb.inhibit.cell.wall.synthesis,0.2
X0.5ug.mL.CervsEtOH..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X100ug.mL.Ceph.DMSO..6h,antitb.inhibit.cell.wall.synthesis,0.2
X100ug.mL.Cephalexin.Ctrl..6h,antitb.inhibit.cell.wall.synthesis,0.2
X100ug.mL.Cphx.DMSO..6h,antitb.inhibit.cell.wall.synthesis,0.2
X100ug.mL.TriclosanvsEtOH..6h,antitb.inhibit.cell.wall.synthesis,0.2
X100ug.mL.TriclosanvsEtOH..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X100ug.mLCephalexinvsEtOH.6h,antitb.inhibit.cell.wall.synthesis,0.2
X100ug.mLCephalexinvsEtOH.6hA,antitb.inhibit.cell.wall.synthesis,0.2
X10ug.mL..109.DMSO..6h,antitb.inhibit.cell.wall.synthesis,0.2
X10ug.mL..109vsDMSO..6h,antitb.inhibit.cell.wall.synthesis,0.2
X10ug.mL..109vsDMSO..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X10ug.mL..241.DMSO..6h,antitb.inhibit.cell.wall.synthesis,0.2
X10ug.mL..241vsDMSO..6h,antitb.inhibit.cell.wall.synthesis,0.2
X10ug.mL..59.DMSO..6h,antitb.inhibit.cell.wall.synthesis,0.2
X10ug.mL..59vsDMSO..6h,antitb.inhibit.cell.wall.synthesis,0.2
X10ug.mL..59vsDMSO..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X10ug.mL.EMBvsDMSO..6h,antitb.inhibit.cell.wall.synthesis,0.2
X10ug.mL.EMBvsDMSO..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X10ug.mL.TriclosanvsDMSO..6h,antitb.inhibit.cell.wall.synthesis,0.2
X10ug.mL.TriclosanvsDMSO..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X10ug.mL.TriclosanvsDMSO..6hB,antitb.inhibit.cell.wall.synthesis,0.2
X10ug.mL.TriclosanvsDMSO..6hC,antitb.inhibit.cell.wall.synthesis,0.2
X12ug.ml.Ethionamide.vs.Ethanol.6hrs.rep.1.x,antitb.inhibit.cell.wall.synthesis,0.2
X12ug.ml.Ethionamide.vs.Ethanol.6hrs.rep.1.y,antitb.inhibit.cell.wall.synthesis,0.2
X12ug.ml.Ethionamide.vs.Ethanol.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
X12ug.mLEthionamidevsEtOH.6h,antitb.inhibit.cell.wall.synthesis,0.2
X12ug.mLEthionamidevsEtOH.6hA,antitb.inhibit.cell.wall.synthesis,0.2
X130ug.mL.TLMvsDMSO..6h,antitb.inhibit.cell.wall.synthesis,0.2
X130ug.mL.TLMvsDMSO..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X1ug.mL..109vsDMSO..6h,antitb.inhibit.cell.wall.synthesis,0.2
X1ug.mL..109vsDMSO..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X1ug.mL..241vsDMSO..6h,antitb.inhibit.cell.wall.synthesis,0.2
X1ug.mL..241vsDMSO..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X1ug.mL..59vsDMSO..6h,antitb.inhibit.cell.wall.synthesis,0.2
X1ug.mL..59vsDMSO..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X20ug.mL.Cephalexin.Ctrl..6h..1,antitb.inhibit.cell.wall.synthesis,0.2
X20ug.mL.Cephalexin.Ctrl..6h..2,antitb.inhibit.cell.wall.synthesis,0.2
X20ug.mL.ethambutol.DMSO,antitb.inhibit.cell.wall.synthesis,0.2
X40ug.mL.EtavsEtOH..6h,antitb.inhibit.cell.wall.synthesis,0.2
X40ug.mL.EtavsEtOH..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X50ug.mL.Triclosan.DMSO..6h,antitb.inhibit.cell.wall.synthesis,0.2
X50ug.mL.Triclosan.EtOH,antitb.inhibit.cell.wall.synthesis,0.2
X50ug.mL.TriclosanvsEtOH..6h,antitb.inhibit.cell.wall.synthesis,0.2
X50ug.mL.TriclosanvsEtOH..6hA,antitb.inhibit.cell.wall.synthesis,0.2
DIPED..100ug.mL..DMSO..12h..1,antitb.inhibit.cell.wall.synthesis,0.2
DIPED..100ug.mL..DMSO..12h..2,antitb.inhibit.cell.wall.synthesis,0.2
DIPED..100ug.mL..DMSO..12h..3,antitb.inhibit.cell.wall.synthesis,0.2
DIPED..50ug.mL..DMSO..12h,antitb.inhibit.cell.wall.synthesis,0.2
DIPED.10ug.mL.vs.DMSO.12h.1,antitb.inhibit.cell.wall.synthesis,0.2
DIPED.10ug.mL.vs.DMSO.12h.2,antitb.inhibit.cell.wall.synthesis,0.2
DIPED.50ug.mL.vs.DMSO.12h.1,antitb.inhibit.cell.wall.synthesis,0.2
DIPED.50ug.mL.vs.DMSO.12h.2,antitb.inhibit.cell.wall.synthesis,0.2
DIPED.5ug.mL.vs.DMSO.12h.1,antitb.inhibit.cell.wall.synthesis,0.2
DIPED.5ug.mL.vs.DMSO.12h.2,antitb.inhibit.cell.wall.synthesis,0.2
EMB..10ug.mL..DMSO..12h,antitb.inhibit.cell.wall.synthesis,0.2
EMB.10ug.mL.vs.DMSO.12h.1,antitb.inhibit.cell.wall.synthesis,0.2
EMB.10ug.mL.vs.DMSO.12h.2,antitb.inhibit.cell.wall.synthesis,0.2
EMB.10ug.mL.vs.DMSO.12h.3,antitb.inhibit.cell.wall.synthesis,0.2
EMB.10ug.mL.vs.DMSO.12h.4,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.Control.vs.400.ug.ml.vancomycin.for.1.hr.DS.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.Control.vs.400.ug.ml.vancomycin.for.1.hr.DS.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.Control.vs.400.ug.ml.vancomycin.for.1.hr.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.Control.vs.400.ug.ml.vancomycin.for.1.hr.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.Control.vs.400.ug.ml.vancomycin.for.4.hrs.DS.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.Control.vs.400.ug.ml.vancomycin.for.4.hrs.DS.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.Control.vs.400.ug.ml.vancomycin.for.4.hrs.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.Control.vs.400.ug.ml.vancomycin.for.4.hrs.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.Control.vs.subinhibitory.conc..5.ug.ml..vancomycin.DS.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.Control.vs.subinhibitory.conc..5.ug.ml..vancomycin.DS.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.Control.vs.subinhibitory.conc..5.ug.ml..vancomycin.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.Control.vs.subinhibitory.conc..5.ug.ml..vancomycin.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.3,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.ctrl.vs.1ug.ml.Isoniazid.for.6hrs.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.ctrl.vs.1ug.ml.Isoniazid.for.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.ctrl.vs.1ug.ml.Isoniazid.for.6hrs.rep.3,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.KatG.null..ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.KatG.null..ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.KatG.null..ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.3,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.mouse.hallow.fiber..ctrl.vs.25mg.kg.Isoniazid.3rd.dose.6hrs.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.mouse.hallow.fiber..ctrl.vs.25mg.kg.Isoniazid.3rd.dose.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.nutrient.starved..ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
H37Rv.nutrient.starved..ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
X0.13mg.ml.TLM.vs.DMSO.6hrs.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
X0.13mg.ml.TLM.vs.DMSO.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
X0.13mg.mL.TLMvsDMSO..6h,antitb.inhibit.cell.wall.synthesis,0.2
X0.13mg.mL.TLMvsDMSO..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X0.2mg.ml.Ampicillin.vs.Ethanol.6hrs,antitb.inhibit.cell.wall.synthesis,0.2
X0.2mg.ml.TLM.vs.Ethanol.6hrs.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
X0.2mg.ml.TLM.vs.Ethanol.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
X0.2mg.mL.TLMvsEtOH..6h,antitb.inhibit.cell.wall.synthesis,0.2
X0.2mg.mL.TLMvsEtOH..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.3.x,antitb.inhibit.cell.wall.synthesis,0.2
X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.3.y,antitb.inhibit.cell.wall.synthesis,0.2
X0.32ug.mL.Cerulenin.vs.Ethanol.6hrs.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
X0.32ug.mL.Cerulenin.vs.Ethanol.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
X0.5ug.mL.Cerulenin.vs.DMSO..6hrs.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
X0.5ug.mL.Cerulenin.vs.DMSO..6hrs.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
X0.5ug.mL.Cerulenin.vs.DMSO..6hrs.rep.3,antitb.inhibit.cell.wall.synthesis,0.2
X0.5ug.mL.Cerulenin.vs.DMSO..6hrs.rep.4,antitb.inhibit.cell.wall.synthesis,0.2
X0.5ug.mL.Cerulenin.vs.Ethanol..6hrs.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
X0.5ug.mL.Cerulenin.vs.Ethanol..6hrs.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
X0.5ug.mL.CeruleninvsDMSO..6hA,antitb.inhibit.cell.wall.synthesis,0.2
X0.5ug.mL.CeruleninvsDMSO..6hB,antitb.inhibit.cell.wall.synthesis,0.2
X0.5ug.mL.CeruleninvsDMSO..6hC,antitb.inhibit.cell.wall.synthesis,0.2
X10ug.ml.Ethambutol.vs.DMSO.12hrs.3,antitb.inhibit.cell.wall.synthesis,0.2
X12ug.ml.Ethionamide.vs.Ethanol.6hrs.rep.1.x,antitb.inhibit.cell.wall.synthesis,0.2
X12ug.ml.Ethionamide.vs.Ethanol.6hrs.rep.1.y,antitb.inhibit.cell.wall.synthesis,0.2
X12ug.ml.Ethionamide.vs.Ethanol.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
X12ug.mLEthionamidevsEtOH.6h,antitb.inhibit.cell.wall.synthesis,0.2
X12ug.mLEthionamidevsEtOH.6hA,antitb.inhibit.cell.wall.synthesis,0.2
X130ug.ml.TLM.vs.DMSO.6hrs.rep.1,antitb.inhibit.cell.wall.synthesis,0.2
X130ug.ml.TLM.vs.DMSO.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis,0.2
X130ug.mL.TLMvsDMSO..6h,antitb.inhibit.cell.wall.synthesis,0.2
X130ug.mL.TLMvsDMSO..6hA,antitb.inhibit.cell.wall.synthesis,0.2
