sample,block
X1.2mg.mL.PZAvspH5.6..4h.A,antitb.aromatic.amides
X1.2mg.mL.PZAvspH5.6..4h.B,antitb.aromatic.amides
X1.2mg.mL.PZAvspH5.6..6h.,antitb.aromatic.amides
X1.2mg.mL.PZAvspH5.6..6h.A,antitb.aromatic.amides
X1.2mg.mL.PZAvspH5.6..7h.,antitb.aromatic.amides
X1.2mg.mL.PZAvspH5.6..7h.A,antitb.aromatic.amides
X40ug.mL.5CL.pH5.6..2h..1,antitb.aromatic.amides
X40ug.mL.5CL.pH5.6..2h..2,antitb.aromatic.amides
X40ug.mL.5CL.pH5.6..4h..1,antitb.aromatic.amides
X40ug.mL.5CL.pH5.6..4h..2,antitb.aromatic.amides
X40ug.mL.5CL.pH5.6..4h..3,antitb.aromatic.amides
X80ug.mL.5CL.pH5.6..2h.,antitb.aromatic.amides
Mtm.0.2ug.mL.vs.ctrl.12h.1.x,antitb.DNA damage
Mtm.0.2ug.mL.vs.ctrl.12h.1.y,antitb.DNA damage
Mtm.0.2ug.mL.vs.ctrl.8h.1.x,antitb.DNA damage
Mtm.0.2ug.mL.vs.ctrl.8h.1.y,antitb.DNA damage
Mtm.0.2ug.mL.vs.ctrl.8h.2.x,antitb.DNA damage
Mtm.0.2ug.mL.vs.ctrl.8h.2.y,antitb.DNA damage
X0.1ug.mL.Mtmvsctrl..0.33h..x,antitb.DNA.damage
X0.1ug.mL.Mtmvsctrl..0.75h..x,antitb.DNA.damage
X0.1ug.mL.Mtmvsctrl..1.5h..x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..4h..x,antitb.DNA.damage
X0.2ug.mL.Mtm.ctrl..4h...2.x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..0.33h..x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..0.75h..x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..1.5h..x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..2h..x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..2h.A.x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..2h.B.x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..2h.C.x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..4h..x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..4h.A.x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..4h.B.x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..6h..x,antitb.DNA.damage
X10ug.mL.LevovsEtOH..6h,antitb.DNA.damage
X10ug.mL.LevovsEtOH..6hA,antitb.DNA.damage
X10ug.mL.Nvb.DMSO..6h..1,antitb.DNA.damage
X10ug.mL.Nvb.DMSO..6h..2,antitb.DNA.damage
X10ug.mL.Nvb.DMSO..6h..3,antitb.DNA.damage
X10ug.mL.OfloxvsDMSO..6h,antitb.DNA.damage
X10ug.mL.OfloxvsDMSO..6hA,antitb.DNA.damage
X5ug.mL.OfloxvsEtOH..6h,antitb.DNA.damage
X5ug.mL.OfloxvsEtOH..6hA,antitb.DNA.damage
X0.1ug.mL.Mtmvsctrl..0.33h..x,antitb.DNA.damage
X0.1ug.mL.Mtmvsctrl..0.33h..y,antitb.DNA.damage
X0.1ug.mL.Mtmvsctrl..0.75h..x,antitb.DNA.damage
X0.1ug.mL.Mtmvsctrl..0.75h..y,antitb.DNA.damage
X0.1ug.mL.Mtmvsctrl..1.5h..x,antitb.DNA.damage
X0.1ug.mL.Mtmvsctrl..1.5h..y,antitb.DNA.damage
X0.2ug.mL.Mtm.ctrl..4h...1.x,antitb.DNA.damage
X0.2ug.mL.Mtm.ctrl..4h...1.y,antitb.DNA.damage
X0.2ug.mL.Mtm.ctrl..4h...2.x,antitb.DNA.damage
X0.2ug.mL.Mtm.ctrl..4h...2.y,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..0.33h..x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..0.33h..y,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..0.75h..x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..0.75h..y,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..1.5h..x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..1.5h..y,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..2h..x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..2h..y,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..2h.A.x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..2h.A.y,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..2h.B.x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..2h.B.y,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..2h.C.x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..2h.C.y,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..4h..x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..4h..y,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..4h.A.x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..4h.A.y,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..4h.B.x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..4h.B.y,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..6h..x,antitb.DNA.damage
X0.2ug.mL.Mtmvsctrl..6h..y,antitb.DNA.damage
H37Rv.O2.depleted..ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.1,antitb.inhibit.cell.wall.synthesis
H37Rv.O2.depleted..ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.2,antitb.inhibit.cell.wall.synthesis
H37Rv.O2.depleted..ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.3,antitb.inhibit.cell.wall.synthesis
MTB1254.3524.1._INH_20MIN,antitb.inhibit.cell.wall.synthesis
MTB1254.3524.2._INH_20MIN,antitb.inhibit.cell.wall.synthesis
MTB1254_INH_20MIN,antitb.inhibit.cell.wall.synthesis
X.109..0.1ug.mL..vs.DMSO..12h..GEO.acc.GSM28050.,antitb.inhibit.cell.wall.synthesis
X.109..10ug.mL..DMSO..12h..replicate.2..GEO.acc..GSM28054.,antitb.inhibit.cell.wall.synthesis
X.109..10ug.mL..vs.DMSO..12h..replicate.1..GEO.acc..GSM28053.,antitb.inhibit.cell.wall.synthesis
X.109..1ug.mL..vs.DMSO..12h..replicate.1..GEO.ac.GSM28051.,antitb.inhibit.cell.wall.synthesis
X.109..1ug.mL..vs.DMSO..12h..replicate.2..GEO.acc.GSM28052.,antitb.inhibit.cell.wall.synthesis
X.241..0.1ug.mL..DMSO..12h..1..GEO.acc.GSM28046.,antitb.inhibit.cell.wall.synthesis
X.241..10ug.mL..DMSO..12h..1,antitb.inhibit.cell.wall.synthesis
X.241..10ug.mL..DMSO..12h..2,antitb.inhibit.cell.wall.synthesis
X.241..1ug.mL..DMSO..12h..1,antitb.inhibit.cell.wall.synthesis
X0.13mg.mL.TLMvsDMSO..6h,antitb.inhibit.cell.wall.synthesis
X0.13mg.mL.TLMvsDMSO..6hA,antitb.inhibit.cell.wall.synthesis
X0.15mg.mL.TricvsEtOH..6h,antitb.inhibit.cell.wall.synthesis
X0.15mg.mL.TricvsEtOH..6hA,antitb.inhibit.cell.wall.synthesis
X0.1mg.mL.TriclosanvsEtOH..6h,antitb.inhibit.cell.wall.synthesis
X0.1mg.mL.TriclosanvsEtOH..6hA,antitb.inhibit.cell.wall.synthesis
X0.1mg.mLTriclosanvsEtOH.6hB,antitb.inhibit.cell.wall.synthesis
X0.1mg.mLTriclosanvsEtOH.6hC,antitb.inhibit.cell.wall.synthesis
X0.2mg.mL.AmpvsEtOH..6h,antitb.inhibit.cell.wall.synthesis
X0.2mg.mL.AmpvsEtOH..6hA,antitb.inhibit.cell.wall.synthesis
X0.2mg.mL.AmpvsEtOH..6hB,antitb.inhibit.cell.wall.synthesis
X0.2mg.mL.AmpvsEtOH..6hC,antitb.inhibit.cell.wall.synthesis
X0.2mg.mL.TLMvsEtOH..6h,antitb.inhibit.cell.wall.synthesis
X0.2mg.mL.TLMvsEtOH..6hA,antitb.inhibit.cell.wall.synthesis
X0.2ug.mL.INH.EtOH..6h,antitb.inhibit.cell.wall.synthesis
X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.1,antitb.inhibit.cell.wall.synthesis
X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis
X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.3.x,antitb.inhibit.cell.wall.synthesis
X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.3.y,antitb.inhibit.cell.wall.synthesis
X0.32ug.mL.CervsEtOH..6h,antitb.inhibit.cell.wall.synthesis
X0.32ug.mL.CervsEtOH..6hA,antitb.inhibit.cell.wall.synthesis
X0.4ug.mL.INHvsEtOH..6h,antitb.inhibit.cell.wall.synthesis
X0.4ug.mL.INHvsEtOH..6hA,antitb.inhibit.cell.wall.synthesis
X0.5ug.mL.CeruleninvsDMSO..6hA,antitb.inhibit.cell.wall.synthesis
X0.5ug.mL.CeruleninvsDMSO..6hB,antitb.inhibit.cell.wall.synthesis
X0.5ug.mL.CeruleninvsDMSO..6hC,antitb.inhibit.cell.wall.synthesis
X0.5ug.mL.CervsEtOH..6h,antitb.inhibit.cell.wall.synthesis
X0.5ug.mL.CervsEtOH..6hA,antitb.inhibit.cell.wall.synthesis
X100ug.mL.Ceph.DMSO..6h,antitb.inhibit.cell.wall.synthesis
X100ug.mL.Cephalexin.Ctrl..6h,antitb.inhibit.cell.wall.synthesis
X100ug.mL.Cphx.DMSO..6h,antitb.inhibit.cell.wall.synthesis
X100ug.mL.TriclosanvsEtOH..6h,antitb.inhibit.cell.wall.synthesis
X100ug.mL.TriclosanvsEtOH..6hA,antitb.inhibit.cell.wall.synthesis
X100ug.mLCephalexinvsEtOH.6h,antitb.inhibit.cell.wall.synthesis
X100ug.mLCephalexinvsEtOH.6hA,antitb.inhibit.cell.wall.synthesis
X10ug.mL..109.DMSO..6h,antitb.inhibit.cell.wall.synthesis
X10ug.mL..109vsDMSO..6h,antitb.inhibit.cell.wall.synthesis
X10ug.mL..109vsDMSO..6hA,antitb.inhibit.cell.wall.synthesis
X10ug.mL..241.DMSO..6h,antitb.inhibit.cell.wall.synthesis
X10ug.mL..241vsDMSO..6h,antitb.inhibit.cell.wall.synthesis
X10ug.mL..59.DMSO..6h,antitb.inhibit.cell.wall.synthesis
X10ug.mL..59vsDMSO..6h,antitb.inhibit.cell.wall.synthesis
X10ug.mL..59vsDMSO..6hA,antitb.inhibit.cell.wall.synthesis
X10ug.mL.EMBvsDMSO..6h,antitb.inhibit.cell.wall.synthesis
X10ug.mL.EMBvsDMSO..6hA,antitb.inhibit.cell.wall.synthesis
X10ug.mL.TriclosanvsDMSO..6h,antitb.inhibit.cell.wall.synthesis
X10ug.mL.TriclosanvsDMSO..6hA,antitb.inhibit.cell.wall.synthesis
X10ug.mL.TriclosanvsDMSO..6hB,antitb.inhibit.cell.wall.synthesis
X10ug.mL.TriclosanvsDMSO..6hC,antitb.inhibit.cell.wall.synthesis
X12ug.ml.Ethionamide.vs.Ethanol.6hrs.rep.1.x,antitb.inhibit.cell.wall.synthesis
X12ug.ml.Ethionamide.vs.Ethanol.6hrs.rep.1.y,antitb.inhibit.cell.wall.synthesis
X12ug.ml.Ethionamide.vs.Ethanol.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis
X12ug.mLEthionamidevsEtOH.6h,antitb.inhibit.cell.wall.synthesis
X12ug.mLEthionamidevsEtOH.6hA,antitb.inhibit.cell.wall.synthesis
X130ug.mL.TLMvsDMSO..6h,antitb.inhibit.cell.wall.synthesis
X130ug.mL.TLMvsDMSO..6hA,antitb.inhibit.cell.wall.synthesis
X1ug.mL..109vsDMSO..6h,antitb.inhibit.cell.wall.synthesis
X1ug.mL..109vsDMSO..6hA,antitb.inhibit.cell.wall.synthesis
X1ug.mL..241vsDMSO..6h,antitb.inhibit.cell.wall.synthesis
X1ug.mL..241vsDMSO..6hA,antitb.inhibit.cell.wall.synthesis
X1ug.mL..59vsDMSO..6h,antitb.inhibit.cell.wall.synthesis
X1ug.mL..59vsDMSO..6hA,antitb.inhibit.cell.wall.synthesis
X20ug.mL.Cephalexin.Ctrl..6h..1,antitb.inhibit.cell.wall.synthesis
X20ug.mL.Cephalexin.Ctrl..6h..2,antitb.inhibit.cell.wall.synthesis
X20ug.mL.ethambutol.DMSO,antitb.inhibit.cell.wall.synthesis
X40ug.mL.EtavsEtOH..6h,antitb.inhibit.cell.wall.synthesis
X40ug.mL.EtavsEtOH..6hA,antitb.inhibit.cell.wall.synthesis
X50ug.mL.Triclosan.DMSO..6h,antitb.inhibit.cell.wall.synthesis
X50ug.mL.Triclosan.EtOH,antitb.inhibit.cell.wall.synthesis
X50ug.mL.TriclosanvsEtOH..6h,antitb.inhibit.cell.wall.synthesis
X50ug.mL.TriclosanvsEtOH..6hA,antitb.inhibit.cell.wall.synthesis
DIPED..100ug.mL..DMSO..12h..1,antitb.inhibit.cell.wall.synthesis
DIPED..100ug.mL..DMSO..12h..2,antitb.inhibit.cell.wall.synthesis
DIPED..100ug.mL..DMSO..12h..3,antitb.inhibit.cell.wall.synthesis
DIPED..50ug.mL..DMSO..12h,antitb.inhibit.cell.wall.synthesis
DIPED.10ug.mL.vs.DMSO.12h.1,antitb.inhibit.cell.wall.synthesis
DIPED.10ug.mL.vs.DMSO.12h.2,antitb.inhibit.cell.wall.synthesis
DIPED.50ug.mL.vs.DMSO.12h.1,antitb.inhibit.cell.wall.synthesis
DIPED.50ug.mL.vs.DMSO.12h.2,antitb.inhibit.cell.wall.synthesis
DIPED.5ug.mL.vs.DMSO.12h.1,antitb.inhibit.cell.wall.synthesis
DIPED.5ug.mL.vs.DMSO.12h.2,antitb.inhibit.cell.wall.synthesis
EMB..10ug.mL..DMSO..12h,antitb.inhibit.cell.wall.synthesis
EMB.10ug.mL.vs.DMSO.12h.1,antitb.inhibit.cell.wall.synthesis
EMB.10ug.mL.vs.DMSO.12h.2,antitb.inhibit.cell.wall.synthesis
EMB.10ug.mL.vs.DMSO.12h.3,antitb.inhibit.cell.wall.synthesis
EMB.10ug.mL.vs.DMSO.12h.4,antitb.inhibit.cell.wall.synthesis
H37Rv.Control.vs.400.ug.ml.vancomycin.for.1.hr.DS.rep.1,antitb.inhibit.cell.wall.synthesis
H37Rv.Control.vs.400.ug.ml.vancomycin.for.1.hr.DS.rep.2,antitb.inhibit.cell.wall.synthesis
H37Rv.Control.vs.400.ug.ml.vancomycin.for.1.hr.rep.1,antitb.inhibit.cell.wall.synthesis
H37Rv.Control.vs.400.ug.ml.vancomycin.for.1.hr.rep.2,antitb.inhibit.cell.wall.synthesis
H37Rv.Control.vs.400.ug.ml.vancomycin.for.4.hrs.DS.rep.1,antitb.inhibit.cell.wall.synthesis
H37Rv.Control.vs.400.ug.ml.vancomycin.for.4.hrs.DS.rep.2,antitb.inhibit.cell.wall.synthesis
H37Rv.Control.vs.400.ug.ml.vancomycin.for.4.hrs.rep.1,antitb.inhibit.cell.wall.synthesis
H37Rv.Control.vs.400.ug.ml.vancomycin.for.4.hrs.rep.2,antitb.inhibit.cell.wall.synthesis
H37Rv.Control.vs.subinhibitory.conc..5.ug.ml..vancomycin.DS.rep.1,antitb.inhibit.cell.wall.synthesis
H37Rv.Control.vs.subinhibitory.conc..5.ug.ml..vancomycin.DS.rep.2,antitb.inhibit.cell.wall.synthesis
H37Rv.Control.vs.subinhibitory.conc..5.ug.ml..vancomycin.rep.1,antitb.inhibit.cell.wall.synthesis
H37Rv.Control.vs.subinhibitory.conc..5.ug.ml..vancomycin.rep.2,antitb.inhibit.cell.wall.synthesis
H37Rv.ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.1,antitb.inhibit.cell.wall.synthesis
H37Rv.ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.2,antitb.inhibit.cell.wall.synthesis
H37Rv.ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.3,antitb.inhibit.cell.wall.synthesis
H37Rv.ctrl.vs.1ug.ml.Isoniazid.for.6hrs.rep.1,antitb.inhibit.cell.wall.synthesis
H37Rv.ctrl.vs.1ug.ml.Isoniazid.for.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis
H37Rv.ctrl.vs.1ug.ml.Isoniazid.for.6hrs.rep.3,antitb.inhibit.cell.wall.synthesis
H37Rv.KatG.null..ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.1,antitb.inhibit.cell.wall.synthesis
H37Rv.KatG.null..ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.2,antitb.inhibit.cell.wall.synthesis
H37Rv.KatG.null..ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.3,antitb.inhibit.cell.wall.synthesis
H37Rv.mouse.hallow.fiber..ctrl.vs.25mg.kg.Isoniazid.3rd.dose.6hrs.rep.1,antitb.inhibit.cell.wall.synthesis
H37Rv.mouse.hallow.fiber..ctrl.vs.25mg.kg.Isoniazid.3rd.dose.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis
H37Rv.nutrient.starved..ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.1,antitb.inhibit.cell.wall.synthesis
H37Rv.nutrient.starved..ctrl.vs.1ug.ml.Isoniazid.for.2hrs.rep.2,antitb.inhibit.cell.wall.synthesis
X0.13mg.ml.TLM.vs.DMSO.6hrs.rep.1,antitb.inhibit.cell.wall.synthesis
X0.13mg.ml.TLM.vs.DMSO.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis
X0.13mg.mL.TLMvsDMSO..6h,antitb.inhibit.cell.wall.synthesis
X0.13mg.mL.TLMvsDMSO..6hA,antitb.inhibit.cell.wall.synthesis
X0.2mg.ml.Ampicillin.vs.Ethanol.6hrs,antitb.inhibit.cell.wall.synthesis
X0.2mg.ml.TLM.vs.Ethanol.6hrs.rep.1,antitb.inhibit.cell.wall.synthesis
X0.2mg.ml.TLM.vs.Ethanol.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis
X0.2mg.mL.TLMvsEtOH..6h,antitb.inhibit.cell.wall.synthesis
X0.2mg.mL.TLMvsEtOH..6hA,antitb.inhibit.cell.wall.synthesis
X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.1,antitb.inhibit.cell.wall.synthesis
X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis
X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.3.x,antitb.inhibit.cell.wall.synthesis
X0.2ug.ml.Isoniazid.vs.Ethanol.6hrs.rep.3.y,antitb.inhibit.cell.wall.synthesis
X0.32ug.mL.Cerulenin.vs.Ethanol.6hrs.rep.1,antitb.inhibit.cell.wall.synthesis
X0.32ug.mL.Cerulenin.vs.Ethanol.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis
X0.5ug.mL.Cerulenin.vs.DMSO..6hrs.rep.1,antitb.inhibit.cell.wall.synthesis
X0.5ug.mL.Cerulenin.vs.DMSO..6hrs.rep.2,antitb.inhibit.cell.wall.synthesis
X0.5ug.mL.Cerulenin.vs.DMSO..6hrs.rep.3,antitb.inhibit.cell.wall.synthesis
X0.5ug.mL.Cerulenin.vs.DMSO..6hrs.rep.4,antitb.inhibit.cell.wall.synthesis
X0.5ug.mL.Cerulenin.vs.Ethanol..6hrs.rep.1,antitb.inhibit.cell.wall.synthesis
X0.5ug.mL.Cerulenin.vs.Ethanol..6hrs.rep.2,antitb.inhibit.cell.wall.synthesis
X0.5ug.mL.CeruleninvsDMSO..6hA,antitb.inhibit.cell.wall.synthesis
X0.5ug.mL.CeruleninvsDMSO..6hB,antitb.inhibit.cell.wall.synthesis
X0.5ug.mL.CeruleninvsDMSO..6hC,antitb.inhibit.cell.wall.synthesis
X10ug.ml.Ethambutol.vs.DMSO.12hrs.3,antitb.inhibit.cell.wall.synthesis
X12ug.ml.Ethionamide.vs.Ethanol.6hrs.rep.1.x,antitb.inhibit.cell.wall.synthesis
X12ug.ml.Ethionamide.vs.Ethanol.6hrs.rep.1.y,antitb.inhibit.cell.wall.synthesis
X12ug.ml.Ethionamide.vs.Ethanol.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis
X12ug.mLEthionamidevsEtOH.6h,antitb.inhibit.cell.wall.synthesis
X12ug.mLEthionamidevsEtOH.6hA,antitb.inhibit.cell.wall.synthesis
X130ug.ml.TLM.vs.DMSO.6hrs.rep.1,antitb.inhibit.cell.wall.synthesis
X130ug.ml.TLM.vs.DMSO.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis
X130ug.mL.TLMvsDMSO..6h,antitb.inhibit.cell.wall.synthesis
X130ug.mL.TLMvsDMSO..6hA,antitb.inhibit.cell.wall.synthesis
X40ug.ml.Ethionamide.vs.Ethanol.6hrs.rep.1,antitb.inhibit.cell.wall.synthesis
X40ug.ml.Ethionamide.vs.Ethanol.6hrs.rep.2,antitb.inhibit.cell.wall.synthesis
X10ug.mL.Amikacin.EtOH..6h,antitb.inhibit.protein.synthesis
X10ug.ml.capreomycin.vs.Ethanol..6hrs,antitb.inhibit.protein.synthesis
X10ug.mL.capreomycinvsEtOH..6h,antitb.inhibit.protein.synthesis
X10ug.mL.CapvsEtOH..6h,antitb.inhibit.protein.synthesis
X10ug.mL.RoxvsEtOH..6h,antitb.inhibit.protein.synthesis
X10ug.mL.RoxvsEtOH..6hA,antitb.inhibit.protein.synthesis
X10ug.mL.TetvsEtOH..6h,antitb.inhibit.protein.synthesis
X10ug.mL.TetvsEtOH..6hA,antitb.inhibit.protein.synthesis
X2ug.mL.SMvsEtOH..6h,antitb.inhibit.protein.synthesis
X2ug.mL.SMvsEtOH..6hA,antitb.inhibit.protein.synthesis
X30ug.mL.RoxvsEtOH..6h,antitb.inhibit.protein.synthesis
X30ug.mL.RoxvsEtOH..6hA,antitb.inhibit.protein.synthesis
X50ug.mL.RoxvsEtOH..6h,antitb.inhibit.protein.synthesis
X50ug.mL.RoxvsEtOH..6hA,antitb.inhibit.protein.synthesis
X5ug.mL.AmivsEtOH..6h,antitb.inhibit.protein.synthesis
X5ug.mL.AmivsEtOH..6hA,antitb.inhibit.protein.synthesis
X5ug.mL.CapvsEtOH..6h,antitb.inhibit.protein.synthesis
X5ug.mL.CapvsEtOH..6hA,antitb.inhibit.protein.synthesis
X5ug.mL.TetvsEtOH..6h,antitb.inhibit.protein.synthesis
X5ug.mLStreptomycinvsEtOH.6h,antitb.inhibit.protein.synthesis
X5ug.mLStreptomycinvsEtOH.6hA,antitb.inhibit.protein.synthesis
X5ug.ml.Streptomycin.vs.Ethanol.6hrs,antitb.inhibit.protein.synthesis
MTB1254.control.vs..0.5.ug.ml.Streptomycin.for.15.min.rep.1,antitb.inhibit.protein.synthesis
MTB1254.control.vs..0.5.ug.ml.Streptomycin.for.15.min.rep.2,antitb.inhibit.protein.synthesis
MTB1254.control.vs..0.5.ug.ml.Streptomycin.for.15.min.rep.3,antitb.inhibit.protein.synthesis
MTB1254.control.vs..0.5.ug.ml.Streptomycin.for.15.min.rep.4,antitb.inhibit.protein.synthesis
MTB1254.control.vs..0.5.ug.ml.Streptomycin.for.15.min.rep.5,antitb.inhibit.protein.synthesis
MTB1254.control.vs..1.0.ug.ml.Erythromycin.for.2.hr..ref..rep.1,antitb.inhibit.protein.synthesis
